file_path,file_name,file_size_bytes,modality,vocal_channel,emotion_id,emotion_name,intensity_id,intensity_level,statement_id,statement_text,repetition_id,actor_id,speaker_id,gender,fold
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-01-01-01-01-01.wav,03-01-01-01-01-01-01.wav,375720,03,01,1,neutral,1,normal,1,Kids are talking by the door,1,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-01-01-01-02-01.wav,03-01-01-01-01-02-01.wav,379106,03,01,1,neutral,1,normal,1,Kids are talking by the door,2,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-01-01-02-01-01.wav,03-01-01-01-02-01-01.wav,372698,03,01,1,neutral,1,normal,2,Dogs are sitting by the door,1,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-01-01-02-02-01.wav,03-01-01-01-02-02-01.wav,363108,03,01,1,neutral,1,normal,2,Dogs are sitting by the door,2,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-02-01-01-01-01.wav,03-01-02-01-01-01-01.wav,399494,03,01,2,calm,1,normal,1,Kids are talking by the door,1,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-02-01-01-02-01.wav,03-01-02-01-01-02-01.wav,751848,03,01,2,calm,1,normal,1,Kids are talking by the door,2,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-02-02-01-01-01.wav,03-01-02-02-01-01-01.wav,415516,03,01,2,calm,2,strong,1,Kids are talking by the door,1,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-02-02-01-02-01.wav,03-01-02-02-01-02-01.wav,444344,03,01,2,calm,2,strong,1,Kids are talking by the door,2,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-02-01-02-01-01.wav,03-01-02-01-02-01-01.wav,396294,03,01,2,calm,1,normal,2,Dogs are sitting by the door,1,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-02-01-02-02-01.wav,03-01-02-01-02-02-01.wav,393086,03,01,2,calm,1,normal,2,Dogs are sitting by the door,2,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-02-02-02-01-01.wav,03-01-02-02-02-01-01.wav,463564,03,01,2,calm,2,strong,2,Dogs are sitting by the door,1,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-02-02-02-02-01.wav,03-01-02-02-02-02-01.wav,444344,03,01,2,calm,2,strong,2,Dogs are sitting by the door,2,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-03-01-01-01-01.wav,03-01-03-01-01-01-01.wav,393094,03,01,3,happy,1,normal,1,Kids are talking by the door,1,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-03-01-01-02-01.wav,03-01-03-01-01-02-01.wav,393092,03,01,3,happy,1,normal,1,Kids are talking by the door,2,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-03-02-01-01-01.wav,03-01-03-02-01-01-01.wav,412300,03,01,3,happy,2,strong,1,Kids are talking by the door,1,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-03-02-01-02-01.wav,03-01-03-02-01-02-01.wav,409108,03,01,3,happy,2,strong,1,Kids are talking by the door,2,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-03-01-02-01-01.wav,03-01-03-01-02-01-01.wav,399498,03,01,3,happy,1,normal,2,Dogs are sitting by the door,1,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-03-01-02-02-01.wav,03-01-03-01-02-02-01.wav,415516,03,01,3,happy,1,normal,2,Dogs are sitting by the door,2,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-03-02-02-01-01.wav,03-01-03-02-02-01-01.wav,437936,03,01,3,happy,2,strong,2,Dogs are sitting by the door,1,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-03-02-02-02-01.wav,03-01-03-02-02-02-01.wav,437938,03,01,3,happy,2,strong,2,Dogs are sitting by the door,2,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-04-01-01-01-01.wav,03-01-04-01-01-01-01.wav,428338,03,01,4,sad,1,normal,1,Kids are talking by the door,1,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-04-01-01-02-01.wav,03-01-04-01-01-02-01.wav,402714,03,01,4,sad,1,normal,1,Kids are talking by the door,2,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-04-02-01-01-01.wav,03-01-04-02-01-01-01.wav,425138,03,01,4,sad,2,strong,1,Kids are talking by the door,1,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-04-02-01-02-01.wav,03-01-04-02-01-02-01.wav,415530,03,01,4,sad,2,strong,1,Kids are talking by the door,2,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-04-01-02-01-01.wav,03-01-04-01-02-01-01.wav,396306,03,01,4,sad,1,normal,2,Dogs are sitting by the door,1,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-04-01-02-02-01.wav,03-01-04-01-02-02-01.wav,383494,03,01,4,sad,1,normal,2,Dogs are sitting by the door,2,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-04-02-02-01-01.wav,03-01-04-02-02-01-01.wav,418734,03,01,4,sad,2,strong,2,Dogs are sitting by the door,1,1,Actor_01,male,2
B:\Experiments\Project Peter\Data\Raw\Actor_01\03-01-04-02-02-02-01.wav,03-01-04-02-02-02-01.wav,418732,03,01,4,sad,2,strong,2,Dogs are sitting by the door,2,1,Actor_01,male,2
