feature_name,global_shap_importance,female_shap_importance,male_shap_importance,rank,gender_shap_ratio
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.32118258030957586,0.3240302743422059,0.3183348862769469,1,1.017891184129609
jitterLocal_sma3nz_amean,0.3157905052942453,0.31953068151410136,0.31205032907438923,2,1.023971621699296
loudness_sma3_percentile50.0,0.2604648418184791,0.2632202972673145,0.25770938636964424,3,1.0213842071307628
loudness_sma3_meanFallingSlope,0.22765556712285817,0.22828655197711087,0.2270245822686048,4,1.0055587359566769
loudness_sma3_stddevNorm,0.22675199469739118,0.23040505248180293,0.2230989369129799,5,1.0327483208567363
spectralFluxV_sma3nz_amean,0.2205280355913268,0.21397819049563513,0.22707788068701806,6,0.9423119057138011
HNRdBACF_sma3nz_stddevNorm,0.19652983158452733,0.20616321607229354,0.1868964470967609,7,1.103087935992479
loudness_sma3_meanRisingSlope,0.1772459561055411,0.1800856675789518,0.17440624463213011,8,1.0325643325375253
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.15859346767574578,0.1554657854510766,0.16172114990041497,9,0.961320059539582
slopeV500-1500_sma3nz_amean,0.1566911020479427,0.1676261973735461,0.14575600672233874,10,1.150046582250771
F1bandwidth_sma3nz_stddevNorm,0.15546018316042443,0.1553562800579064,0.1555640862629426,11,0.9986641762245498
StddevVoicedSegmentLengthSec,0.15031189747455048,0.14436178589420084,0.15626200905489981,12,0.9238444249330108
loudness_sma3_stddevFallingSlope,0.14514465445385205,0.14115177405338514,0.14913753485431905,13,0.9464537159693931
alphaRatioV_sma3nz_stddevNorm,0.13874675480333812,0.12352877968797218,0.15396472991870433,14,0.8023186852806953
mfcc1V_sma3nz_amean,0.1283643462239941,0.11184054189376876,0.14488815055421983,15,0.7719095141042328
shimmerLocaldB_sma3nz_stddevNorm,0.12619260489158945,0.13419201390993865,0.11819319587323988,16,1.1353615825216978
HNRdBACF_sma3nz_amean,0.11873214639003879,0.13577101008544523,0.10169328269463246,17,1.3351030322537858
mfcc4V_sma3nz_stddevNorm,0.1174117665176221,0.10229620620044455,0.13252732683479929,18,0.7718876449380205
slopeV0-500_sma3nz_amean,0.11663058675178437,0.11731281578777496,0.11594835771579454,19,1.0117678085214876
F2amplitudeLogRelF0_sma3nz_stddevNorm,0.11543049048967428,0.11880064076937984,0.11206034020996847,20,1.0601488496892122
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.11383801356040642,0.13351352550939785,0.09416250161141551,21,1.4179054636884427
spectralFluxUV_sma3nz_amean,0.11017383989565258,0.10477629825421918,0.1155713815370858,22,0.9065938025548084
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.10824030690781324,0.12427279979388456,0.09220781402174176,23,1.3477469465286551
F1frequency_sma3nz_amean,0.10817546483435415,0.10551672209941111,0.11083420756929735,24,0.9520230659242855
spectralFluxV_sma3nz_stddevNorm,0.10809192393869232,0.10998061670644363,0.10620323117094094,25,1.0355675198753864
F3amplitudeLogRelF0_sma3nz_stddevNorm,0.10643618289864662,0.10930918503211624,0.10356318076517715,26,1.0554830802268211
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.10270918019053951,0.10866673908290228,0.09675162129817667,27,1.1231516084676727
slopeV500-1500_sma3nz_stddevNorm,0.09713657774699996,0.095410812423493,0.09886234307050737,28,0.96508750915854
loudness_sma3_percentile20.0,0.09506727827036919,0.0955440393363549,0.0945905172043835,29,1.010080525618769
F3frequency_sma3nz_stddevNorm,0.09494286250796286,0.09178417805852253,0.09810154695740327,30,0.9356037789941906
F3frequency_sma3nz_amean,0.09321529504003884,0.09111748731926508,0.09531310276081242,31,0.9559807065343764
StddevUnvoicedSegmentLength,0.09221851811034223,0.08676566351624816,0.09767137270443642,32,0.888342828750958
mfcc4V_sma3nz_amean,0.08934585093163022,0.07450755956551197,0.10418414229774862,33,0.7151525934971588
loudness_sma3_stddevRisingSlope,0.08644881243255749,0.08835017253149895,0.08454745233361588,34,1.0449773481391007
shimmerLocaldB_sma3nz_amean,0.0850509031934751,0.08070869231635347,0.08939311407059682,35,0.9028513343054034
loudness_sma3_percentile80.0,0.08501506925582684,0.08334018240313362,0.08668995610852012,36,0.9613591486746955
loudness_sma3_pctlrange0-2,0.08453107076722213,0.08582288939810029,0.083239252136344,37,1.0310386890252732
logRelF0-H1-H2_sma3nz_amean,0.08343056117470314,0.08499996270948595,0.08186115963991979,38,1.0383430076408975
hammarbergIndexV_sma3nz_stddevNorm,0.08245287379114724,0.07727848968081968,0.08762725790147469,39,0.8819001248185715
loudness_sma3_amean,0.08164194613178781,0.0782788374016432,0.08500505486193242,40,0.9208727354953874
F1amplitudeLogRelF0_sma3nz_amean,0.08054928504431694,0.07939433346068038,0.08170423662795394,41,0.9717284774620456
logRelF0-H1-A3_sma3nz_amean,0.07886050173402563,0.0830899005907939,0.07463110287725731,42,1.1133414539973825
mfcc2V_sma3nz_amean,0.07748627256419269,0.08690809057452828,0.06806445455385719,43,1.276849879194444
loudnessPeaksPerSec,0.07734964374315516,0.07001959609898586,0.0846796913873245,44,0.8268759008428193
hammarbergIndexV_sma3nz_amean,0.07573783976167843,0.08045878602648797,0.07101689349686881,45,1.1329527674994044
F3bandwidth_sma3nz_amean,0.07434113979720203,0.07494709949729601,0.07373518009710806,46,1.0164361082266549
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.07145632375080328,0.06811206801739451,0.07480057948421237,47,0.9105820902332775
F2frequency_sma3nz_amean,0.07045406973806762,0.06422802879059016,0.07668011068554517,48,0.8376100166832136
mfcc1_sma3_amean,0.06840672496023867,0.06924827129115926,0.067565178629318,49,1.0249106521433946
mfcc3_sma3_amean,0.06793275632812111,0.06992561321294946,0.06593989944329273,50,1.0604446443398716
F1frequency_sma3nz_stddevNorm,0.06784484012360582,0.06645803156619338,0.06923164868101814,51,0.9599371505999507
slopeUV500-1500_sma3nz_amean,0.06665245939547092,0.06360265648189112,0.06970226230905077,52,0.9124905616389495
MeanUnvoicedSegmentLength,0.06632787479252134,0.06766649958938555,0.064989249995657,53,1.0411952683544965
mfcc2_sma3_amean,0.06540804367596259,0.06876023697561134,0.0620558503763138,54,1.1080379457962686
logRelF0-H1-H2_sma3nz_stddevNorm,0.06371908012661921,0.06498866295263282,0.06244949730060563,55,1.0406595050686271
F2frequency_sma3nz_stddevNorm,0.06362457547560753,0.06198703595917557,0.06526211499203939,56,0.9498165354698769
mfcc4_sma3_stddevNorm,0.06180430798560995,0.06072956201340242,0.06287905395781758,57,0.9658154534917598
F2amplitudeLogRelF0_sma3nz_amean,0.061674965535839635,0.05807571752616359,0.065274213545516,58,0.8897191459176621
F2bandwidth_sma3nz_stddevNorm,0.06058085674687024,0.055914430033056406,0.06524728346068387,59,0.8569618084827827
mfcc4_sma3_amean,0.06053553330344288,0.05621368780704002,0.06485737879984557,60,0.8667277162174472
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.05947081233582186,0.05815150170706985,0.06079012296457361,61,0.9565945727887167
mfcc2V_sma3nz_stddevNorm,0.05928677272135083,0.057006979985023624,0.06156656545767815,62,0.9259405581786293
slopeV0-500_sma3nz_stddevNorm,0.059252801447682954,0.05224528631562142,0.06626031657974457,63,0.7884853108533522
slopeUV0-500_sma3nz_amean,0.05850342306225124,0.062441976248056315,0.054564869876446084,64,1.144362231403589
logRelF0-H1-A3_sma3nz_stddevNorm,0.05844362479075438,0.0559830833821834,0.060904166199325385,65,0.9191995700091122
mfcc3V_sma3nz_amean,0.05770991246562578,0.062117446744241286,0.05330237818701004,66,1.1653785226299622
MeanVoicedSegmentLengthSec,0.055917295919823674,0.055854068069703576,0.05598052376994371,67,0.9977410768652359
mfcc3_sma3_stddevNorm,0.05532004492401067,0.058412850542761616,0.052227239305259854,68,1.1184364963529443
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.05500755768286491,0.05631285271321361,0.05370226265251609,69,1.0486122917685892
alphaRatioV_sma3nz_amean,0.05492883252587533,0.05765048423740381,0.0522071808143469,70,1.1042635005022345
alphaRatioUV_sma3nz_amean,0.0546254565673474,0.06552942291753475,0.043721490217160035,71,1.4987920720921681
jitterLocal_sma3nz_stddevNorm,0.05376698626554021,0.05014165866449435,0.057392313866586005,72,0.873665048268545
F0semitoneFrom27.5Hz_sma3nz_amean,0.05323175303759881,0.05571314239339594,0.05075036368180174,73,1.0977880423224193
mfcc1V_sma3nz_stddevNorm,0.04985245211413645,0.04157062209616779,0.05813428213210528,74,0.7150793055585005
F3bandwidth_sma3nz_stddevNorm,0.04943234431814043,0.05321467049625398,0.04565001814002698,75,1.1657097338499005
F1bandwidth_sma3nz_amean,0.04942362825639867,0.04962896356268203,0.049218292950115046,76,1.0083438613562485
F2bandwidth_sma3nz_amean,0.047646007844215146,0.04176826372203076,0.05352375196639942,77,0.7803687556928297
mfcc2_sma3_stddevNorm,0.04669129243781826,0.04933602894855615,0.044046555927080254,78,1.1200882318752163
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.043765573375545604,0.03893157536940592,0.04859957138168536,79,0.801068286459769
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.04088624783896214,0.03979597214337755,0.04197652353454673,80,0.9480530733000178
VoicedSegmentsPerSec,0.04020205913770534,0.04136407559176788,0.03904004268364305,81,1.0595294663727033
spectralFlux_sma3_amean,0.03975648384595694,0.03682342717134022,0.04268954052057359,82,0.8625866364992548
F3amplitudeLogRelF0_sma3nz_amean,0.039607799136379455,0.03923735873267445,0.03997823954008465,83,0.9814678981382522
mfcc1_sma3_stddevNorm,0.03929201448648438,0.03969754354898399,0.03888648542398484,84,1.0208570693945742
mfcc3V_sma3nz_stddevNorm,0.0373385662321794,0.038327074411554675,0.03635005805280415,85,1.054388258634377
hammarbergIndexUV_sma3nz_amean,0.03299276387799744,0.0324174700992381,0.03356805765675677,86,0.9657237374505321
spectralFlux_sma3_stddevNorm,0.03272227792854805,0.030730504097614145,0.03471405175948202,87,0.885246824845798
equivalentSoundLevel_dBp,0.030987651516572075,0.03184344753372095,0.03013185549942318,88,1.0568034064258187
